draw,rebalance_date,macro_source_date,temperature,max_tokens,parse_ok,inflation,growth,credit_stress,policy,risk_appetite,latency_s,error,reply_text
0,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.6,0.9,0.7,-0.7,53.08,,"{""inflation"": 0.85, ""growth"": -0.6, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.7}"
1,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.7,0.6,-0.7,61.74,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.6,
  ""credit_stress"": 0.7,
  ""policy"": 0.6,
  ""risk_appetite"": -0.7
}
```"
2,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.5,0.4,-0.9,-0.7,73.47,,"{""inflation"": 0.8, ""growth"": -0.5, ""credit_stress"": 0.4, ""policy"": -0.9, ""risk_appetite"": -0.7}"
3,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.3,0.7,-0.7,-0.6,89.55,,"{""inflation"": 0.8, ""growth"": 0.3, ""credit_stress"": 0.7, ""policy"": -0.7, ""risk_appetite"": -0.6}"
4,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.7,0.4,-0.7,101.74,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.7, ""policy"": 0.4, ""risk_appetite"": -0.7}"
5,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.6,0.43,0.98,-0.7,118.54,,"{""inflation"": 0.85, ""growth"": -0.6, ""credit_stress"": 0.43, ""policy"": 0.98, ""risk_appetite"": -0.7}"
6,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.4,-0.6,-0.7,124.51,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.4, ""policy"": -0.6, ""risk_appetite"": -0.7}"
7,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.8,0.5,0.9,-0.8,132.34,,"{""inflation"": 0.85, ""growth"": -0.8, ""credit_stress"": 0.5, ""policy"": 0.9, ""risk_appetite"": -0.8}"
8,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.3,0.43,-0.98,-0.8,136.45,,"{""inflation"": 0.85, ""growth"": -0.3, ""credit_stress"": 0.43, ""policy"": -0.98, ""risk_appetite"": -0.8}"
9,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.6,0.7,0.6,-0.5,142.06,,"{""inflation"": 0.85, ""growth"": -0.6, ""credit_stress"": 0.7, ""policy"": 0.6, ""risk_appetite"": -0.5}"
10,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.5,0.7,-0.6,-0.7,146.1,,"{""inflation"": 0.8, ""growth"": -0.5, ""credit_stress"": 0.7, ""policy"": -0.6, ""risk_appetite"": -0.7}"
11,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.7,-0.5,-0.6,149.38,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.7, ""policy"": -0.5, ""risk_appetite"": -0.6}"
12,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.7,0.2,-0.6,155.31,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.7, ""policy"": 0.2, ""risk_appetite"": -0.6}"
13,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,0.9,-0.7,-0.6,169.2,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": 0.9, ""policy"": -0.7, ""risk_appetite"": -0.6}"
14,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.6,0.4,0.3,-0.7,183.46,,"{""inflation"": 0.85, ""growth"": -0.6, ""credit_stress"": 0.4, ""policy"": 0.3, ""risk_appetite"": -0.7}"
15,2020-03-02,2020-02-29,0.0,2048,True,0.7,-0.8,0.5,-0.6,-0.9,192.42,,"{""inflation"": 0.7, ""growth"": -0.8, ""credit_stress"": 0.5, ""policy"": -0.6, ""risk_appetite"": -0.9}"
16,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.8,0.4,0.5,-0.7,197.54,,"{""inflation"": 0.8, ""growth"": -0.8, ""credit_stress"": 0.4, ""policy"": 0.5, ""risk_appetite"": -0.7}"
17,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.5,0.7,-0.6,205.21,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.5, ""policy"": 0.7, ""risk_appetite"": -0.6}"
20,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.7,0.6,-0.7,5.36,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.7, ""policy"": 0.6, ""risk_appetite"": -0.7}"
21,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.9,0.43,0.8,-0.7,5.9,,"```json
{
  ""inflation"": 0.85,
  ""growth"": -0.90,
  ""credit_stress"": 0.43,
  ""policy"": 0.80,
  ""risk_appetite"": -0.70
}
```
"
26,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.9,-0.8,-0.7,6.04,,"{""inflation"": 0.85, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": -0.8, ""risk_appetite"": -0.7}"
49,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.2,0.98,-0.8,-0.7,6.22,,"{""inflation"": 0.85, ""growth"": 0.2, ""credit_stress"": 0.98, ""policy"": -0.8, ""risk_appetite"": -0.7}"
28,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.5,0.8,-0.9,-0.7,6.5,,"{""inflation"": 0.8, ""growth"": -0.5, ""credit_stress"": 0.8, ""policy"": -0.9, ""risk_appetite"": -0.7}"
30,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.7,0.3,-0.6,6.55,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.7, ""policy"": 0.3, ""risk_appetite"": -0.6}"
18,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.7,0.3,-0.6,6.79,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.7, ""policy"": 0.3, ""risk_appetite"": -0.6}"
35,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.9,0.4,-0.9,-0.8,7.06,,"{""inflation"": 0.8, ""growth"": -0.9, ""credit_stress"": 0.4, ""policy"": -0.9, ""risk_appetite"": -0.8}"
46,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.7,0.5,-0.7,7.16,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.7, ""policy"": 0.5, ""risk_appetite"": -0.7}"
31,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.9,0.4,-0.9,-0.8,7.32,,"{""inflation"": 0.8, ""growth"": -0.9, ""credit_stress"": 0.4, ""policy"": -0.9, ""risk_appetite"": -0.8}"
34,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.9,0.4,-0.9,-0.8,7.35,,"{""inflation"": 0.8, ""growth"": -0.9, ""credit_stress"": 0.4, ""policy"": -0.9, ""risk_appetite"": -0.8}"
41,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.98,0.43,-0.98,-0.7,7.41,,"{""inflation"": 0.85, ""growth"": -0.98, ""credit_stress"": 0.43, ""policy"": -0.98, ""risk_appetite"": -0.7}"
29,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,0.98,-0.98,-0.5,8.47,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": 0.98, ""policy"": -0.98, ""risk_appetite"": -0.5}"
39,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,0.98,-0.98,-0.5,8.53,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": 0.98, ""policy"": -0.98, ""risk_appetite"": -0.5}"
24,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.98,0.43,0.8,-0.8,8.59,,"{""inflation"": 0.85, ""growth"": -0.98, ""credit_stress"": 0.43, ""policy"": 0.8, ""risk_appetite"": -0.8}"
43,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.3,0.95,0.7,-0.8,9.04,,"{""inflation"": 0.85, ""growth"": -0.3, ""credit_stress"": 0.95, ""policy"": 0.7, ""risk_appetite"": -0.8}"
52,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.4,0.7,-0.5,3.18,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.6,
  ""credit_stress"": 0.4,
  ""policy"": 0.7,
  ""risk_appetite"": -0.5
}
```"
19,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.5,-0.9,-0.7,9.43,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.5, ""policy"": -0.9, ""risk_appetite"": -0.7}"
27,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.4,-0.9,-0.6,9.51,,"{""inflation"": 0.85, ""growth"": -0.7, ""credit_stress"": 0.4, ""policy"": -0.9, ""risk_appetite"": -0.6}"
47,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.9,0.7,-0.8,9.58,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.8}"
44,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.9,-0.6,-0.5,9.68,,"{""inflation"": 0.85, ""growth"": -0.7, ""credit_stress"": 0.9, ""policy"": -0.6, ""risk_appetite"": -0.5}"
23,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.8,-0.9,-0.8,10.03,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.8, ""policy"": -0.9, ""risk_appetite"": -0.8}"
45,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.9,0.4,-0.9,-0.7,10.22,,"{""inflation"": 0.8, ""growth"": -0.9, ""credit_stress"": 0.4, ""policy"": -0.9, ""risk_appetite"": -0.7}"
55,2020-03-02,2020-02-29,0.0,2048,True,0.9,-0.7,0.8,0.6,-0.8,3.86,,"{""inflation"": 0.9, ""growth"": -0.7, ""credit_stress"": 0.8, ""policy"": 0.6, ""risk_appetite"": -0.8}"
53,2020-03-02,2020-02-29,0.0,2048,True,0.9,-0.8,0.85,0.6,-0.7,4.88,,"{""inflation"": 0.90, ""growth"": -0.80, ""credit_stress"": 0.85, ""policy"": 0.60, ""risk_appetite"": -0.70}"
36,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.8,-0.9,-0.8,11.2,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.8, ""policy"": -0.9, ""risk_appetite"": -0.8}"
40,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,0.7,-0.8,11.42,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.8}"
32,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.6,0.3,-0.6,11.83,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.6, ""policy"": 0.3, ""risk_appetite"": -0.6}"
61,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.6,-0.5,-0.6,4.49,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.6, ""policy"": -0.5, ""risk_appetite"": -0.6}"
54,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.8,0.6,-0.7,6.05,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.8, ""policy"": 0.6, ""risk_appetite"": -0.7}"
58,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,0.7,-0.8,5.97,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.8}"
69,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.2,0.7,0.6,-0.7,3.58,,"```json
{
  ""inflation"": 0.80,
  ""growth"": -0.20,
  ""credit_stress"": 0.70,
  ""policy"": 0.60,
  ""risk_appetite"": -0.70
}
```
"
59,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.8,0.5,-0.7,6.13,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.8, ""policy"": 0.5, ""risk_appetite"": -0.7}"
48,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.6,0.3,-0.6,13.88,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.6, ""policy"": 0.3, ""risk_appetite"": -0.6}"
64,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.5,0.6,-0.6,5.35,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.5, ""policy"": 0.6, ""risk_appetite"": -0.6}"
62,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.5,0.9,0.7,-0.8,5.5,,"{""inflation"": 0.8, ""growth"": -0.5, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.8}"
42,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.5,-0.7,-0.8,14.08,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.5, ""policy"": -0.7, ""risk_appetite"": -0.8}"
66,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.4,-0.6,-0.7,5.28,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.7,
  ""credit_stress"": 0.4,
  ""policy"": -0.6,
  ""risk_appetite"": -0.7
}
```
"
